epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.66708,1.26968,2.99786,1.63875,0.00327,1,0.0782,0.03469,0.75738,3.02246,1.61717,0,0,0
2,10.3375,1.51612,3.07862,1.75255,0.00324,1,0.11125,0.04967,0.74216,3.02371,1.60253,1.63399e-05,1.63399e-05,1.63399e-05
3,10.9878,1.10539,3.009,1.51552,0.00323,1,0.05106,0.02398,0.72706,3.02363,1.58702,3.20197e-05,3.20197e-05,3.20197e-05
4,11.5677,1.29251,3.08358,1.71564,0.00321,1,0.06963,0.03027,0.71588,3.02406,1.5673,4.70394e-05,4.70394e-05,4.70394e-05
5,12.1794,1.11193,3.02746,1.56836,0.00317,1,0.0417,0.01891,0.70578,3.02786,1.55801,6.13989e-05,6.13989e-05,6.13989e-05
6,12.7926,1.53111,3.1591,1.91076,0.00319,1,0.06972,0.03536,0.69369,3.02993,1.54914,7.50984e-05,7.50984e-05,7.50984e-05
7,13.4888,1.07927,3.08422,1.52333,0.00318,1,0.061,0.03604,0.67968,2.9921,1.62782,8.81376e-05,8.81376e-05,8.81376e-05
8,14.2405,1.06999,2.9814,1.52077,0.0032,1,0.22101,0.03774,0.67579,2.99923,1.60368,0.000100517,0.000100517,0.000100517
9,15.0268,1.13028,2.94408,1.59848,0.00319,1,0.22223,0.10461,0.65267,2.97985,1.58727,0.000112236,0.000112236,0.000112236
10,15.7702,0.96186,2.98838,1.53971,0.00318,1,0.22675,0.13547,0.58951,2.97922,1.52889,0.000123295,0.000123295,0.000123295
11,16.5341,0.87729,2.88885,1.46279,0.00317,1,0.28862,0.16915,0.6379,2.99023,1.58514,0.000133693,0.000133693,0.000133693
12,17.3204,0.80076,2.83235,1.46343,0.00317,1,0.66375,0.30498,0.74684,3.025,1.58393,0.000143432,0.000143432,0.000143432
13,18.0839,0.78008,2.81667,1.34892,0.00316,1,0.38142,0.2323,0.82334,3.01427,1.74231,0.00015251,0.00015251,0.00015251
14,18.8599,0.88093,2.80652,1.38255,0.00317,1,0.3081,0.19094,0.83294,3.02288,1.69071,0.000160929,0.000160929,0.000160929
15,19.6406,0.85845,2.94246,1.48059,0.0032,1,0.55588,0.36001,0.83684,3.00603,1.76018,0.000168687,0.000168687,0.000168687
16,20.4044,0.88894,2.81004,1.42634,0.0032,1,0.52759,0.30036,0.76819,2.98688,1.71114,0.000175785,0.000175785,0.000175785
17,21.2058,1.15056,2.77151,1.55026,0.00322,1,0.53938,0.27292,0.80039,2.97007,1.6829,0.000182223,0.000182223,0.000182223
18,21.9279,0.9024,2.68519,1.43616,0.00322,1,0.53938,0.27292,0.80039,2.97007,1.6829,0.000188001,0.000188001,0.000188001
19,22.6699,0.79187,2.68764,1.36589,0.00321,1,0.62187,0.29081,0.80841,3.00085,1.68339,0.000193119,0.000193119,0.000193119
20,23.3817,0.83823,2.74538,1.52597,0.00321,1,0.62187,0.29081,0.80841,3.00085,1.68339,0.000197576,0.000197576,0.000197576
21,24.1537,0.68696,2.62001,1.32267,0.00315,1,0.58063,0.26445,0.85514,3.01986,1.66706,0.000201374,0.000201374,0.000201374
22,24.9275,0.76082,2.54675,1.25123,0.00315,1,0.58063,0.26445,0.85514,3.01986,1.66706,0.000204511,0.000204511,0.000204511
23,25.6973,0.63592,2.65963,1.23149,0.00312,1,0.62187,0.32206,0.91019,3.02101,1.73841,0.000206988,0.000206988,0.000206988
24,26.4442,0.8185,2.5084,1.27125,0.00312,1,0.62187,0.32206,0.91019,3.02101,1.73841,0.000208805,0.000208805,0.000208805
25,27.1773,0.78412,2.50147,1.37855,0.00311,1,0.51844,0.2755,0.89183,2.9877,1.72073,0.000209962,0.000209962,0.000209962
26,27.9301,0.80528,2.5279,1.39148,0.00311,1,0.51844,0.2755,0.89183,2.9877,1.72073,0.000210459,0.000210459,0.000210459
27,28.6936,0.85295,2.59158,1.47624,0.00311,1,0.506,0.2704,0.85736,2.97838,1.64556,0.000210295,0.000210295,0.000210295
28,29.4393,0.90272,2.47353,1.36916,0.00311,1,0.506,0.2704,0.85736,2.97838,1.64556,0.000209472,0.000209472,0.000209472
29,30.1845,0.78709,2.47356,1.30923,0.00313,1,0.51153,0.29602,0.77316,2.95331,1.53664,0.000207988,0.000207988,0.000207988
30,30.9309,0.84088,2.44931,1.35074,0.00313,1,0.51153,0.29602,0.77316,2.95331,1.53664,0.000205844,0.000205844,0.000205844
31,31.6576,0.78206,2.40053,1.32168,0.00312,1,0.49792,0.28459,0.75816,2.92905,1.509,0.000203041,0.000203041,0.000203041
32,32.3576,0.58752,2.35616,1.20331,0.00312,1,0.49792,0.28459,0.75816,2.92905,1.509,0.000199577,0.000199577,0.000199577
33,33.0988,0.92289,2.55934,1.60771,0.00316,1,0.5145,0.32632,0.71153,2.90217,1.50063,0.000195452,0.000195452,0.000195452
34,33.8407,0.68645,2.32253,1.29615,0.00316,1,0.5145,0.32632,0.71153,2.90217,1.50063,0.000190668,0.000190668,0.000190668
35,34.6042,0.66263,2.22636,1.23283,0.00317,1,0.53938,0.34166,0.65691,2.88581,1.46624,0.000185224,0.000185224,0.000185224
36,35.3212,0.64232,2.19653,1.21248,0.00317,1,0.53938,0.34166,0.65691,2.88581,1.46624,0.000179119,0.000179119,0.000179119
37,36.1025,0.52245,2.28577,1.14991,0.0032,1,0.531,0.39619,0.57214,2.84913,1.43713,0.000172354,0.000172354,0.000172354
38,36.826,0.6799,2.3364,1.2639,0.0032,1,0.531,0.39619,0.57214,2.84913,1.43713,0.00016493,0.00016493,0.00016493
